Wk,Day,Date,Time,Home,xG_x,xG_y,Away,Attendance,Venue,Referee,game_id,Score_x,Score_y,Fouls_x,Corners_x,Crosses_x,Touches_x,Tackles_x,Interceptions_x,Aerials Won_x,Clearances_x,Offsides_x,Goal Kicks_x,Throw Ins_x,Long Balls_x,Fouls_y,Corners_y,Crosses_y,Touches_y,Tackles_y,Interceptions_y,Aerials Won_y,Clearances_y,Offsides_y,Goal Kicks_y,Throw Ins_y,Long Balls_y
7.0,Sat,2022-09-17,18:30,M'Gladbach,2.7,0.9,RB Leipzig,50186.0,Stadion im Borussia-Park,Patrick Ittrich,59,3,0,14.0,8.0,11.0,587.0,16.0,7.0,6.0,21.0,0.0,4.0,20.0,58.0,14.0,3.0,21.0,675.0,15.0,14.0,6.0,18.0,1.0,5.0,21.0,51.0
7.0,Sun,2022-09-18,15:30,Union Berlin,1.4,0.3,Wolfsburg,22012.0,Stadion An der Alten Försterei,Robert Schröder,60,2,0,18.0,4.0,22.0,578.0,18.0,6.0,10.0,6.0,2.0,6.0,27.0,91.0,6.0,1.0,5.0,608.0,19.0,5.0,15.0,22.0,0.0,13.0,23.0,84.0
7.0,Sun,2022-09-18,17:30,Bochum,0.2,2.1,Köln,25800.0,Vonovia Ruhrstadion,Bastian Dankert,61,1,1,12.0,4.0,7.0,460.0,17.0,8.0,16.0,34.0,1.0,11.0,19.0,90.0,8.0,8.0,45.0,726.0,18.0,4.0,21.0,10.0,3.0,7.0,32.0,77.0
7.0,Sun,2022-09-18,19:30,Hoffenheim,0.7,1.0,Freiburg,24233.0,PreZero Arena,Deniz Aytekin,62,0,0,15.0,5.0,19.0,624.0,11.0,8.0,13.0,21.0,4.0,9.0,16.0,72.0,9.0,3.0,16.0,628.0,19.0,10.0,15.0,14.0,2.0,8.0,17.0,76.0
8.0,Fri,2022-09-30,20:30,Bayern Munich,1.9,0.8,Leverkusen,75000.0,Allianz Arena,Tobias Stieler,63,4,0,10.0,6.0,15.0,776.0,17.0,5.0,8.0,7.0,0.0,5.0,17.0,52.0,6.0,2.0,8.0,539.0,15.0,13.0,12.0,25.0,0.0,12.0,11.0,49.0
8.0,Sat,2022-10-01,15:30,Freiburg,2.0,1.6,Mainz 05,34700.0,Europa-Park Stadion,Sven Jablonski,64,2,1,9.0,5.0,14.0,642.0,13.0,15.0,28.0,29.0,0.0,7.0,21.0,84.0,15.0,5.0,15.0,584.0,19.0,18.0,16.0,14.0,2.0,8.0,15.0,92.0
8.0,Sat,2022-10-01,15:30,Eint Frankfurt,0.8,1.0,Union Berlin,50500.0,Deutsche Bank Park,Sascha Stegemann,65,2,0,4.0,4.0,7.0,641.0,14.0,14.0,17.0,30.0,0.0,9.0,26.0,62.0,11.0,7.0,30.0,664.0,22.0,3.0,17.0,8.0,2.0,6.0,26.0,65.0
8.0,Sat,2022-10-01,15:30,Köln,1.9,2.5,Dortmund,50000.0,RheinEnergieSTADION,Harm Osmers,66,3,2,14.0,7.0,16.0,524.0,19.0,12.0,10.0,27.0,9.0,6.0,15.0,70.0,9.0,11.0,25.0,658.0,16.0,3.0,13.0,14.0,3.0,7.0,20.0,76.0
8.0,Sat,2022-10-01,15:30,Wolfsburg,2.0,1.5,Stuttgart,24125.0,Volkswagen Arena,Felix Zwayer,67,3,2,16.0,8.0,22.0,550.0,19.0,2.0,13.0,12.0,1.0,9.0,20.0,67.0,14.0,5.0,17.0,497.0,19.0,9.0,9.0,20.0,0.0,14.0,17.0,79.0
8.0,Sat,2022-10-01,15:30,RB Leipzig,3.9,0.1,Bochum,44403.0,Red Bull Arena,Florian Badstübner,68,4,0,8.0,7.0,16.0,884.0,12.0,7.0,5.0,6.0,2.0,2.0,25.0,61.0,8.0,2.0,10.0,440.0,25.0,5.0,11.0,21.0,0.0,12.0,15.0,73.0
