Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2002-06-24,,,,1109.26,,,6.76,1,2.5
2002-06-25,,,,1099.19,,,6.7,0.99,2.52
2002-06-26,,,,1086.91,,,6.62,0.98,2.55
2002-06-27,,,,1079.17,,,6.58,0.98,2.57
2002-06-28,,,,1094.7,,,6.67,0.99,2.53
2002-07-01,,,,1112.56,,,6.78,1.01,2.49
2002-07-02,,,,1122.06,,,6.84,1.01,2.47
2002-07-03,,,,1130.55,,,6.89,1.02,2.45
2002-07-04,,,,1128.22,,,6.87,1.02,2.46
2002-07-05,,,,1127.44,,,6.87,1.02,2.46
2002-07-08,,,,1125.28,,,6.86,1.02,2.47
2002-07-09,,,,1124.85,,,6.85,1.02,2.47
2002-07-10,,,,1126.29,,,6.86,1.02,2.46
2002-07-11,,,,1104.92,,,6.73,1,2.51
2002-07-12,,,,1103.54,,,6.72,1,2.51
2002-07-15,,,,1093.19,,,6.66,0.99,2.54
2002-07-16,,,,1081.32,,,6.59,0.98,2.57
2002-07-17,,,,1081.81,,,6.59,0.98,2.56
2002-07-18,,,,1090.39,,,6.64,0.99,2.54
2002-07-19,,,,1085.86,,,6.62,0.98,2.56
2002-07-22,,,,1073.26,,,6.54,0.97,2.59
2002-07-23,,,,1079.16,,,6.58,0.98,2.57
2002-07-24,,,,1063.88,,,6.48,0.96,2.61
2002-07-25,,,,1058.85,,,6.45,0.96,2.62
2002-07-26,,,,1042.31,,,6.35,0.94,2.66
2002-07-29,,,,1055.65,,,6.43,0.95,2.63
2002-07-30,,,,1040.32,,,6.34,0.94,2.67
2002-07-31,,,,1055.87,,,6.43,0.95,2.63
2002-08-01,,,,1057.55,,,6.44,0.96,2.62
2002-08-02,,,,1051.87,,,6.41,0.95,2.64
2002-08-05,,,,1052.98,,,6.42,0.95,2.63
2002-08-06,,,,1050.04,,,6.4,0.95,2.64
2002-08-07,,,,1051.9,,,6.41,0.95,2.64
2002-08-08,,,,1042.89,,,6.35,0.94,2.66
2002-08-09,,,,1047.8,,,6.38,0.95,2.65
2002-08-12,,,,1045.45,,,6.37,0.95,2.65
2002-08-13,,,,1045.88,,,6.37,0.95,2.65
2002-08-14,,,,1035.97,,,6.31,0.94,2.68
2002-08-16,,,,1041.49,,,6.35,0.94,2.66
2002-08-19,,,,1044.76,,,6.37,0.94,2.66
2002-08-20,,,,1044.35,,,6.36,0.94,2.66
2002-08-21,,,,1042.2,,,6.35,0.94,2.66
2002-08-22,,,,1041.21,,,6.34,0.94,2.66
2002-08-23,,,,1052.69,,,6.41,0.95,2.64
2002-08-26,,,,1055.49,,,6.43,0.95,2.63
2002-08-27,,,,1052.33,,,6.41,0.95,2.64
2002-08-28,,,,1052.14,,,6.41,0.95,2.64
2002-08-29,,,,1051.51,,,6.41,0.95,2.64
2002-08-30,,,,1073.63,,,6.54,0.97,2.58
2002-09-02,,,,1064.34,,,6.49,0.96,2.61
2002-09-03,,,,1054.16,,,6.42,0.95,2.63
2002-09-04,,,,1055.17,,,6.43,0.95,2.63
2002-09-05,,,,1054.65,,,6.43,0.95,2.63
2002-09-06,,,,1058.4,,,6.45,0.96,2.62
2002-09-09,,,,1051.61,,,6.41,0.95,2.64
2002-09-11,,,,1059.09,,,6.45,0.96,2.62
2002-09-12,,,,1068.66,,,6.51,0.97,2.6
2002-09-13,,,,1062.2,,,6.47,0.96,2.61
2002-09-16,,,,1054.23,,,6.42,0.95,2.63
2002-09-17,,,,1063.31,,,6.48,0.96,2.61
2002-09-18,,,,1063.12,,,6.48,0.96,2.61
2002-09-19,,,,1060.11,,,6.46,0.96,2.62
2002-09-20,,,,1049,,,6.39,0.95,2.64
2002-09-23,,,,1042.62,,,6.35,0.94,2.66
2002-09-24,,,,1043.75,,,6.36,0.94,2.66
2002-09-25,,,,1033.49,,,6.3,0.93,2.68
2002-09-26,,,,1028.68,,,6.27,0.93,2.7
2002-09-27,,,,1044.91,,,6.37,0.94,2.66
