Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2018-10-17,    14643.00,    14693.25,    14225.30,    14281.50,      180616172,         4057.60
2018-10-19,    14146.75,    14329.95,    14104.80,    14209.55,      154634068,         4309.68
2018-10-22,    14404.35,    14416.70,    14111.50,    14151.75,      137320936,         5345.55
2018-10-23,    13987.20,    14212.15,    13985.60,    14126.00,      111556728,         4651.85
2018-10-24,    14325.70,    14356.20,    14042.45,    14180.85,      136787599,         4527.92
2018-10-25,    14051.15,    14115.25,    13974.30,    14073.80,      166968359,         5732.60
2018-10-26,    14021.05,    14021.05,    13735.10,    13785.05,      172709930,         4544.60
2018-10-29,    13944.05,    14167.55,    13798.60,    14123.50,      195860404,         6651.57
2018-10-30,    14099.75,    14201.90,    13926.50,    13988.90,      152260445,         4552.33
2018-10-31,    13999.20,    14231.35,    13835.35,    14206.65,      150148921,         5303.36
2018-11-01,    14263.95,    14374.40,    14183.50,    14314.50,      151500866,         5375.17
2018-11-02,    14447.90,    14633.55,    14423.95,    14552.65,      151839394,         5866.15
2018-11-05,    14568.85,    14577.60,    14431.90,    14499.50,-0,-0
2018-11-06,    14503.05,    14595.15,    14446.00,    14465.70,       90756363,         3520.73
2018-11-07,    14595.55,    14609.50,    14533.00,    14554.20,-0,-0
2018-11-09,    14555.30,    14648.85,    14462.35,    14622.70,      135170274,         3510.81
2018-11-12,    14643.30,    14716.90,    14497.20,    14523.10,       83014290,         2536.97
2018-11-13,    14449.50,    14708.65,    14435.65,    14691.50,       97654172,         3003.96
2018-11-14,    14799.80,    14825.45,    14644.30,    14720.40,      116096311,         4363.88
2018-11-15,    14723.75,    14882.65,    14621.05,    14852.20,      134285683,         4061.03
2018-11-16,    14876.95,    14937.90,    14773.65,    14828.45,      171628751,         4979.54
2018-11-19,    14890.15,    14917.70,    14809.75,    14871.40,      126364193,         3781.45
2018-11-20,    14822.55,    14867.20,    14721.50,    14767.90,      133839268,         3705.44
2018-11-21,    14759.65,    14892.95,    14729.45,    14845.60,      120322260,         3314.81
2018-11-22,    14839.00,    14887.10,    14670.75,    14696.60,      122104505,         3003.41
2018-11-26,    14746.30,    14902.20,    14697.35,    14883.50,      147519194,         4132.42
2018-11-27,    14848.75,    14933.45,    14803.30,    14899.65,      151321753,         4041.60
2018-11-28,    14933.60,    14962.90,    14876.35,    14907.55,      223991185,         5175.02
2018-11-29,    14997.60,    15223.35,    14967.10,    15198.40,      433596346,        10623.88
2018-11-30,    15238.65,    15239.15,    15088.00,    15154.45,      195598955,         5032.83
2018-12-03,    15267.75,    15270.75,    15119.75,    15160.45,      179219577,         4278.63
2018-12-04,    15129.20,    15156.95,    15068.35,    15109.95,      142869246,         3438.96
2018-12-05,    15030.45,    15052.15,    14928.80,    14964.70,      108500653,         3369.04
2018-12-06,    14855.80,    14870.00,    14718.45,    14750.60,      115369567,         3224.86
2018-12-07,    14809.15,    15075.30,    14779.60,    15041.70,      145366998,         7368.03
2018-12-10,    14744.35,    14907.35,    14668.00,    14700.40,      125400280,         5319.01
2018-12-11,    14410.95,    14797.15,    14398.60,    14746.25,      192339305,         6460.26
2018-12-12,    14811.65,    15056.65,    14770.75,    15041.80,      153642856,         4564.79
2018-12-13,    15148.00,    15207.00,    15066.60,    15125.90,      195670644,         4660.37
2018-12-14,    15119.95,    15165.45,    15063.50,    15139.05,      156477360,         3146.75
2018-12-17,    15193.30,    15265.70,    15180.95,    15222.95,      106382038,         3323.17
2018-12-18,    15168.75,    15331.15,    15123.60,    15313.55,      108359231,         3000.44
2018-12-19,    15346.20,    15424.00,    15320.55,    15373.00,      151267295,         3985.27
2018-12-20,    15275.75,    15393.00,    15254.40,    15374.60,      160982260,         3526.14
2018-12-21,    15370.35,    15416.50,    15084.05,    15117.05,      118582067,         3191.62
2018-12-24,    15124.15,    15173.35,    15020.20,    15041.80,       93627088,         2152.77
2018-12-26,    14986.70,    15190.60,    14837.25,    15167.00,      118160775,         2773.10
2018-12-27,    15296.05,    15317.10,    15110.55,    15128.00,      124293441,         3548.62
2018-12-28,    15228.65,    15317.80,    15215.40,    15268.05,       76636258,         2479.24
2018-12-31,    15337.00,    15351.90,    15254.55,    15292.00,       57562942,         1872.30
2019-01-01,    15324.40,    15410.40,    15203.15,    15391.45,       70169618,         2726.82
2019-01-02,    15330.05,    15405.15,    15237.05,    15300.55,      112294224,         3157.59
2019-01-03,    15303.30,    15313.90,    15154.35,    15178.95,       81767463,         2897.32
2019-01-04,    15196.45,    15347.40,    15135.55,    15302.75,      130009517,         3337.98
2019-01-07,    15403.90,    15486.10,    15372.50,    15391.30,      124612906,         3352.41
2019-01-08,    15389.50,    15544.45,    15315.75,    15520.50,      107590614,         3396.84
2019-01-09,    15599.35,    15687.30,    15476.30,    15665.55,      167309113,         5232.46
2019-01-10,    15663.40,    15663.40,    15491.00,    15527.30,      141589791,         3647.68
2019-01-11,    15576.40,    15583.35,    15435.05,    15484.05,       91441859,         2884.57
2019-01-14,    15448.25,    15448.40,    15311.30,    15353.65,      174383313,         4207.94
2019-01-15,    15391.10,    15453.70,    15390.75,    15429.95,      137502048,         3394.25
2019-01-16,    15429.05,    15528.55,    15427.00,    15485.50,      150947903,         3437.02
