Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2020-12-04,-0,-0,-0,     5463.15,      149865168,         3811.80
2020-12-07,-0,-0,-0,     5522.51,      136628428,         3646.09
2020-12-08,-0,-0,-0,     5523.29,      123925467,         5608.71
2020-12-09,-0,-0,-0,     5576.84,      122167473,         4580.30
2020-12-10,-0,-0,-0,     5537.88,      100801509,         3016.67
2020-12-11,-0,-0,-0,     5617.22,      313091761,         6460.94
2020-12-14,-0,-0,-0,     5704.83,      191859591,         4674.46
2020-12-15,-0,-0,-0,     5652.26,      113137099,         3586.68
2020-12-16,-0,-0,-0,     5678.06,      116081604,         3476.91
2020-12-17,-0,-0,-0,     5639.36,      109407862,         3447.30
2020-12-18,-0,-0,-0,     5607.17,      122726214,         3499.01
2020-12-21,-0,-0,-0,     5301.39,      196501071,         6580.12
2020-12-22,-0,-0,-0,     5367.29,      188651215,         5123.85
2020-12-23,-0,-0,-0,     5394.47,      102126094,         3261.93
2020-12-24,-0,-0,-0,     5484.13,      123851088,         3542.70
2020-12-28,-0,-0,-0,     5538.03,       76517625,         2730.15
2020-12-29,-0,-0,-0,     5535.17,       83463970,         3313.78
2020-12-30,-0,-0,-0,     5542.50,       78542366,         3411.27
2021-01-01,-0,-0,-0,     5542.87,       52329451,         1714.20
2021-01-04,-0,-0,-0,     5627.34,      128978928,         4124.11
2021-01-05,-0,-0,-0,     5604.06,      123505188,         4591.80
2021-01-06,-0,-0,-0,     5595.07,      179165174,         6761.34
2021-01-07,-0,-0,-0,     5611.69,      106692235,         4594.02
2021-01-08,-0,-0,-0,     5691.37,      129500162,         4595.44
2021-01-11,-0,-0,-0,     5686.98,      117388249,         4611.82
2021-01-12,-0,-0,-0,     5784.12,      176986017,         6310.43
2021-01-13,-0,-0,-0,     5801.69,      187211575,         5425.22
2021-01-14,-0,-0,-0,     5873.76,      131718347,         4192.64
2021-01-15,-0,-0,-0,     5751.34,      137695607,         4100.29
2021-01-18,-0,-0,-0,     5696.07,      149088055,         5408.68
2021-01-19,-0,-0,-0,     5778.48,      106814186,         4500.58
2021-01-20,-0,-0,-0,     5817.54,       90629108,         4193.59
2021-01-21,-0,-0,-0,     5759.90,      128014929,         5784.70
2021-01-22,-0,-0,-0,     5671.20,      122813410,         4840.45
2021-01-25,-0,-0,-0,     5539.08,      129102340,         6644.86
2021-01-27,-0,-0,-0,     5438.57,      134650589,         5561.97
2021-01-28,-0,-0,-0,     5456.46,      109748047,         4482.71
2021-01-29,-0,-0,-0,     5379.75,      179394171,         5959.71
2021-02-01,-0,-0,-0,     5498.95,      149042359,         5119.49
2021-02-02,-0,-0,-0,     5618.89,      133210877,         5541.17
2021-02-03,-0,-0,-0,     5655.47,      150234849,         4806.41
2021-02-04,-0,-0,-0,     5711.51,      167543557,         4531.16
2021-02-05,-0,-0,-0,     5665.43,      108850268,         3259.47
2021-02-08,-0,-0,-0,     5771.16,      137991827,         4143.65
2021-02-09,-0,-0,-0,     5803.37,      164793182,         4886.29
2021-02-10,-0,-0,-0,     5803.94,      119103240,         4002.00
2021-02-11,-0,-0,-0,     5910.18,      127994803,         6165.07
2021-02-12,-0,-0,-0,     5840.24,       90676687,         4260.65
2021-02-15,-0,-0,-0,     5839.38,       90360260,         2976.79
2021-02-16,-0,-0,-0,     5957.82,      159452409,         4472.95
2021-02-17,-0,-0,-0,     5977.48,      110532524,         4272.55
2021-02-18,-0,-0,-0,     6160.97,      390995408,         9216.96
2021-02-19,-0,-0,-0,     6117.90,      242251510,         6785.65
2021-02-22,-0,-0,-0,     6003.92,      123429948,         4325.14
2021-02-23,-0,-0,-0,     6089.25,      215116064,         5787.39
2021-02-24,-0,-0,-0,     6145.79,       95190689,         2645.94
2021-02-25,-0,-0,-0,     6362.59,      237749848,         7438.58
2021-02-26,-0,-0,-0,     6164.50,      206515030,         7138.56
2021-03-01,-0,-0,-0,     6279.56,      128516142,         3799.22
2021-03-02,-0,-0,-0,     6346.68,      166181210,         5263.49
2021-03-03,-0,-0,-0,     6498.01,      126832382,         5809.19
2021-03-04,-0,-0,-0,     6471.81,      113727911,         4282.89
2021-03-05,-0,-0,-0,     6481.65,      184259245,         5850.72
2021-03-08,-0,-0,-0,     6570.59,      213280528,         5264.34
2021-03-09,-0,-0,-0,     6468.19,      310120079,        12078.28
2021-03-10,-0,-0,-0,     6429.37,      105792899,         3212.84
2021-03-12,-0,-0,-0,     6416.80,      128809982,         4585.67
2021-03-15,-0,-0,-0,     6370.45,      105301843,         3800.24
2021-03-16,-0,-0,-0,     6353.44,      102986851,         3404.28
2021-03-17,-0,-0,-0,     6169.18,      131657114,         4789.51
2021-03-18,-0,-0,-0,     6087.89,      113661797,         4093.19
2021-03-19,-0,-0,-0,     6190.49,      204166021,         7355.43
2021-03-22,-0,-0,-0,     6219.06,       96481663,         3793.06
2021-03-23,-0,-0,-0,     6251.88,       90200559,         3554.00
2021-03-24,-0,-0,-0,     6164.66,       95942036,         3314.23
2021-03-25,-0,-0,-0,     6011.38,      128651930,         4182.77
2021-03-26,-0,-0,-0,     6064.39,       94018236,         3443.35
2021-03-30,-0,-0,-0,     6141.64,      159432970,         4336.54
2021-03-31,-0,-0,-0,     6147.95,       99105723,         3317.91
2021-04-01,-0,-0,-0,     6283.58,       81818808,         2723.50
2021-04-05,-0,-0,-0,     6230.78,       86622247,         3273.13
2021-04-06,-0,-0,-0,     6237.03,       60801396,         2682.74
2021-04-07,-0,-0,-0,     6243.95,       88845593,         3993.42
2021-04-08,-0,-0,-0,     6207.64,       79104004,         2962.95
2021-04-09,-0,-0,-0,     6228.94,       70175551,         2975.30
2021-04-12,-0,-0,-0,     5932.82,      102034545,         3688.98
2021-04-13,-0,-0,-0,     6052.97,       93283521,         3317.17
2021-04-15,-0,-0,-0,     6130.98,       91427831,         3404.35
2021-04-16,-0,-0,-0,     6153.24,       82408715,         3169.62
2021-04-19,-0,-0,-0,     6038.84,       79562033,         3156.74
2021-04-20,-0,-0,-0,     6044.96,       80687149,         2954.64
2021-04-22,-0,-0,-0,     6081.97,       67488994,         2624.47
2021-04-23,-0,-0,-0,     6085.22,       93104360,         3211.82
2021-04-26,-0,-0,-0,     6122.87,       58031721,         2984.07
2021-04-27,-0,-0,-0,     6191.16,       66512169,         2966.70
2021-04-28,-0,-0,-0,     6205.92,       52126127,         2734.85
2021-04-29,-0,-0,-0,     6228.25,       62021109,         2737.15
2021-04-30,-0,-0,-0,     6265.34,      186252817,         4921.23
2021-05-03,-0,-0,-0,     6257.51,       86271419,         3645.80
2021-05-04,-0,-0,-0,     6269.14,      111602475,         3922.82
2021-05-05,-0,-0,-0,     6317.17,      121368435,         3044.95
2021-05-06,-0,-0,-0,     6386.23,       95581678,         2922.88
2021-05-07,-0,-0,-0,     6424.42,      100307553,         2998.58
2021-05-10,-0,-0,-0,     6489.76,      120375689,         3232.91
2021-05-11,-0,-0,-0,     6619.50,      199216253,         4406.09
2021-05-12,-0,-0,-0,     6536.75,      150179424,         3638.51
2021-05-14,-0,-0,-0,     6416.08,       93975333,         3014.32
2021-05-17,-0,-0,-0,     6508.37,       75465796,         2481.15
2021-05-18,-0,-0,-0,     6616.18,      108569797,         3202.74
2021-05-19,-0,-0,-0,     6618.82,      141361822,         3904.31
2021-05-20,-0,-0,-0,     6547.07,      125087483,         3435.59
2021-05-21,-0,-0,-0,     6591.00,      143845812,         4664.84
2021-05-24,-0,-0,-0,     6652.18,      161821790,         3905.21
2021-05-25,-0,-0,-0,     6644.01,      141363440,         4487.36
2021-05-26,-0,-0,-0,     6655.16,       90256049,         2728.79
2021-05-27,-0,-0,-0,     6664.18,      203836132,        11259.43
2021-05-28,-0,-0,-0,     6776.45,      124438313,         7526.13
2021-05-31,-0,-0,-0,     6887.25,      139169007,         8280.95
2021-06-01,-0,-0,-0,     6970.51,      118696378,         4902.78
2021-06-02,-0,-0,-0,     7097.99,      117553462,         5510.63
2021-06-03,-0,-0,-0,     7184.12,      136024527,         5083.18
2021-06-04,-0,-0,-0,     7241.06,      188236451,         5197.16
2021-06-07,-0,-0,-0,     7324.21,      127746730,         4327.38
2021-06-08,-0,-0,-0,     7326.68,       88875833,         2989.86
2021-06-09,-0,-0,-0,     7196.14,      155714775,         4492.03
2021-06-10,-0,-0,-0,     7224.30,       89257107,         3316.93
2021-06-11,-0,-0,-0,     7263.51,       91337116,         3405.10
2021-06-14,-0,-0,-0,     7259.82,       76721168,         3451.58
2021-06-15,-0,-0,-0,     7267.20,      104929050,         4241.49
2021-06-16,-0,-0,-0,     7191.50,       93950013,         3091.25
2021-06-17,-0,-0,-0,     7147.06,       75570868,         3449.93
2021-06-18,-0,-0,-0,     7034.49,      169481376,         5889.53
2021-06-21,-0,-0,-0,     7104.97,       76591133,         2935.05
2021-06-22,-0,-0,-0,     7140.79,       75915532,         3059.83
2021-06-23,-0,-0,-0,     7061.59,       62360027,         2921.03
2021-06-24,-0,-0,-0,     6942.51,      100733861,        10385.49
2021-06-25,-0,-0,-0,     6861.79,       91966999,         6773.53
2021-06-28,-0,-0,-0,     6842.34,       72338528,         3694.77
2021-06-29,-0,-0,-0,     6776.38,       85710364,         4393.75
2021-06-30,-0,-0,-0,     6762.85,       68954941,         3190.63
2021-07-01,-0,-0,-0,     6748.14,       60549987,         2460.28
2021-07-02,-0,-0,-0,     6753.34,       64654951,         2578.90
2021-07-05,-0,-0,-0,     6782.27,       50591489,         2246.01
2021-07-06,-0,-0,-0,     6768.62,       76933077,         2533.36
2021-07-07,-0,-0,-0,     6733.44,       56986603,         2172.54
2021-07-08,-0,-0,-0,     6703.64,       70098866,         2802.76
2021-07-09,-0,-0,-0,     6671.96,       43898440,         1749.27
2021-07-12,-0,-0,-0,     6665.06,       45394828,         1786.30
2021-07-13,-0,-0,-0,     6711.33,       48482597,         1616.43
2021-07-14,-0,-0,-0,     6656.91,       44544730,         1763.01
2021-07-15,-0,-0,-0,     6606.80,       66286170,         2013.35
2021-07-16,-0,-0,-0,     6644.87,       57082362,         1835.17
2021-07-19,-0,-0,-0,     6603.26,       65674429,         2139.34
2021-07-20,-0,-0,-0,     6558.84,       67740037,         2245.62
2021-07-22,-0,-0,-0,     6655.42,       58917813,         2082.75
2021-07-23,-0,-0,-0,     6650.22,       46039773,         2167.24
2021-07-26,-0,-0,-0,     6605.37,       48755893,         2302.70
2021-07-27,-0,-0,-0,     6563.47,       50876341,         2214.75
2021-07-28,-0,-0,-0,     6534.70,       50215625,         2186.08
2021-07-29,-0,-0,-0,     6546.75,       57876679,         2576.71
2021-07-30,-0,-0,-0,     6526.35,       81625622,         2677.09
2021-08-02,-0,-0,-0,     6641.86,       57281695,         2323.30
2021-08-03,-0,-0,-0,     6690.80,       57910596,         2232.56
2021-08-04,-0,-0,-0,     6672.03,       57635380,         2372.83
2021-08-05,-0,-0,-0,     6678.45,       71128330,         3291.46
2021-08-06,-0,-0,-0,     6655.48,      107305824,         3638.39
2021-08-09,     6653.85,     6664.10,     6553.80,     6582.20,-0,-0
2021-08-10,     6605.30,     6627.45,     6514.80,     6547.40,-0,-0
2021-08-11,     6566.20,     6634.55,     6508.75,     6626.55,-0,-0
2021-08-12,     6636.35,     6662.50,     6625.70,     6642.90,-0,-0
2021-08-13,     6663.35,     6695.10,     6645.90,     6688.85,-0,-0
2021-08-16,     6698.80,     6781.60,     6674.45,     6751.10,-0,-0
2021-08-17,     6754.15,     6776.90,     6687.35,     6749.45,-0,-0
2021-08-18,     6780.30,     6801.10,     6741.75,     6766.65,-0,-0
2021-08-20,     6710.45,     6754.40,     6668.30,     6692.80,-0,-0
2021-08-20,-0,-0,-0,     6692.80,-0,-0
